Country,Year,pop,Region,SubRegion,OPEC,EU,OECD,CIS,biogeo_ej,co2_combust_per_ej,coalcons_ej,coalprod_ej,gascons_ej,gasprod_ej,hydro_ej,nuclear_ej,oilcons_ej,primary_ej,primary_ej_pc,ren_power_ej,renewables_ej,solar_ej,wind_ej
Algeria,1965,12.381256,Africa,Northern Africa,1,0,0,0,,62.29201922,0.00293076,,0.0267498,,0.004258065,0,0.055458907,0.089397532,7.220392786,,,,
Algeria,1966,12.613389,Africa,Northern Africa,1,0,0,0,,63.94498955,0.002847024,,0.0277893,,0.003779032,0,0.072981738,0.107397094,8.514531172,,,,
Algeria,1967,12.897116,Africa,Northern Africa,1,0,0,0,,62.6341356,0.002177136,,0.0269577,,0.004364516,0,0.068191312,0.101690664,7.884760003,,,,
Algeria,1968,13.190975,Africa,Northern Africa,1,0,0,0,,61.98293833,0.00230274,,0.0283437,,0.005993226,0,0.072602287,0.109241953,8.281567704,,,,
Algeria,1969,13.491016,Africa,Northern Africa,1,0,0,0,,62.87932515,0.00293076,,0.037266075,,0.003842903,0,0.076701351,0.120741089,8.949740237,,,,
Algeria,1970,13.795915,Africa,Northern Africa,1,0,0,0,,62.45218507,0.003475044,,0.03503115,0.08776845,0.006174194,0,0.087651648,0.132332035,9.592117322,,,,
Algeria,1971,14.110271,Africa,Northern Africa,1,0,0,0,,62.43675766,0.000962964,,0.0397782,0.092515498,0.003512903,0,0.098784178,0.143038246,10.13717211,,,,
Algeria,1972,14.439748,Africa,Northern Africa,1,0,0,0,,62.13115365,0.00083736,,0.04618845,0.117220953,0.005269355,0,0.108437091,0.160732256,11.1312369,,,,
Algeria,1973,14.786469,Africa,Northern Africa,1,0,0,0,,60.5741591,0.000962964,,0.064293075,0.155578494,0.008005161,0,0.118441239,0.191702439,12.96472057,,,,
Algeria,1974,15.153602,Africa,Northern Africa,1,0,0,0,,61.17585424,0.000795492,,0.0744282,0.179868147,0.005290645,0,0.131557822,0.212072159,13.99483498,,,,
Algeria,1975,15.724692,Africa,Northern Africa,1,0,0,0,,61.08703007,0.001004832,,0.102564,0.221482798,0.003491613,0,0.146270409,0.253330854,16.11038576,,,,
Algeria,1976,16.500516,Africa,Northern Africa,1,0,0,0,,60.50649106,0.001967796,,0.121275,0.278967142,0.004140968,0,0.168183833,0.295567597,17.91262753,,,,
Algeria,1977,17.134192,Africa,Northern Africa,1,0,0,0,,59.56364882,0.002553948,,0.1292445,0.266995579,0.002863548,0,0.190103382,0.324765378,18.9542278,,,,
Algeria,1978,17.632645,Africa,Northern Africa,1,0,0,0,,60.11899807,0.001297908,,0.2075535,0.414067507,0.00266129,0,0.196588606,0.408101304,23.14464472,,,,
Algeria,1979,18.166981,Africa,Northern Africa,1,0,0,0,,60.0499694,0.003014496,,0.2934855,0.678724229,0.003097742,0,0.235147029,0.534744767,29.43498246,,,,
Algeria,1980,18.739378,Africa,Northern Africa,1,0,0,0,,60.3965856,0.002679552,,0.3939705,0.554750979,0.002735806,0,0.238328755,0.637714613,34.03072467,,,,
Algeria,1981,19.351357,Africa,Northern Africa,1,0,0,0,,59.78050522,0.00188406,,0.512127,0.643134356,0.003896129,0,0.256763071,0.77467026,40.03183135,,,,
Algeria,1982,20.000096,Africa,Northern Africa,1,0,0,0,,60.74588447,0.034959778,,0.5810805,0.839160323,0.005099032,0,0.272064298,0.893203609,44.65996606,,,,
Algeria,1983,20.682111,Africa,Northern Africa,1,0,0,0,,60.51624955,0.03119166,,0.636174,1.201653481,0.002501613,0,0.305612713,0.975479986,47.16539749,,,,
